name,email,sex,is_teacher,is_student,gender2,fav_subject,int_test,decimal_test,range_test,date_test,time_test,date_time,image_test,file_test,autocalc_test,geolocation_test,barcode_test,geo_area_test,percent_test
subj_121,subj_121@gmail.com,f,Off,On,,math,74,,19,03-Apr-24,,24/05/2026 16:08,,,,"28.273158127590715,85.2532366552492",,"27.412456310755676,85.0131007420939,27.36401106443254,85.18334378062872,27.527024524933896,85.26233375472178",80
subj_122,subj_122@gmail.com,m,On,Off,,"math, english, nepali",46,117.92,135,27-Dec-24,,,,,,"27.53447622548541,85.2802997375332",,"28.00044324534511,85.15903207355434,27.51932168304164,85.29257391082065,27.894648701836264,85.15734995681856",39
subj_123,subj_123@gmail.com,m,On,On,user response,"math, nepali",2,84.87,32,,12:27,06/02/2024 06:08,,,,"28.02787114815858,85.27448903326473",,"27.402770471459732,85.06914350074706,28.047950353030018,85.48705480949029,27.0425156558571,85.37022267738907",87
subj_124,,,On,Off,lorem ipsum,english,84,181.44,10,20-Aug-26,08:15,03/03/2026 02:47,,,,,,"27.930047314067505,85.39339335601126,27.08595443181079,85.42514184257769,28.29115154243191,85.17113453714401",66
subj_125,subj_125@gmail.com,,On,Off,,"english, math, nepali",83,111.52,181,15-Dec-26,,21/12/2026 07:26,,,,"27.281787822289022,85.02021596569651",,"27.505006211396058,85.33953710505979,28.13482044510286,85.1640504045951,28.232461102518062,85.34593982983347",32
subj_126,,,On,Off,sample input,"english, nepali, math",8,157.91,159,,17:45,18/03/2024 14:23,,,,"27.670688325365756,85.27616637512035",,"27.648503134151337,85.41335745980109,28.363576529697426,85.46605512990769,27.84644430874408,85.22107427873225",30
subj_127,subj_127@gmail.com,f,Off,On,note here,nepali,80,117.65,41,,12:36,,,,,"27.588063692792783,85.4271012533475",,"27.00096345554981,85.32243655733893,28.077263688191906,85.2835546827444,27.744838225565424,85.40496823685585",46
subj_128,subj_128@gmail.com,m,On,Off,user response,"math, english, nepali",85,153.08,34,30-Oct-25,,09/08/2026 19:30,,,,,,"27.07308364012909,85.00824562948883,27.71021310299149,85.08218936296223,28.05768891899883,85.39766173126388",71
subj_129,,f,On,Off,user response,"english, nepali, math",66,199.53,94,,11:51,04/11/2024 08:08,,,,"28.388763268316175,85.31134567217802",,"27.75589944664535,85.45225317520972,27.27666894133026,85.48667434187296,28.21828582777679,85.43036668093244",52
subj_130,subj_130@gmail.com,m,Off,Off,free text,"nepali, english, math",39,51.34,146,,17:37,18/05/2026 14:43,,,,"27.726320271420096,85.3896787723929",,"27.492106713841412,85.40299529119277,27.130200665026084,85.0221986484553,28.496513171054733,85.43472856161735",31
subj_131,subj_131@gmail.com,f,On,On,lorem ipsum,english,94,,100,05-Jun-24,,26/01/2025 15:23,,,,"28.041799186929573,85.18275164911068",,"28.446423973056163,85.31090569222657,27.416266679151022,85.22545763358106,28.253269556146492,85.33422178535288",33
subj_132,subj_132@gmail.com,f,Off,On,,nepali,97,83.14,94,,14:04,25/08/2024 12:32,,,,"27.26469021220396,85.02590255781993",,"27.584001008387474,85.12353379364036,28.288767718045346,85.14866476305326,27.315288854626537,85.15462486316808",76
subj_133,,,On,Off,user response,"nepali, math",92,135.89,182,01-Oct-24,10:20,20/05/2024 02:34,,,,"27.518775791641186,85.3953367958223",,"27.857273702017913,85.13908114194614,27.08000196256114,85.3689285906802,27.256505224854227,85.21285626187345",9
subj_134,,m,On,Off,sample input,"math, english",61,,158,17-Aug-25,06:17,,,,,"27.366094168189786,85.2870277528909",,,
subj_135,subj_135@gmail.com,f,On,Off,note here,nepali,96,170.44,199,21-Feb-25,17:48,21/10/2026 03:38,,,,"28.229590156717098,85.39967728752858",,"28.064429264828867,85.37845974882374,28.404417739207,85.45345120902776,27.860288792562674,85.289576592932",
subj_136,subj_136@gmail.com,m,Off,Off,note here,"english, math",3,18.03,172,11-Aug-24,06:45,05/12/2024 20:05,,,,"27.696903880789556,85.17190798446218",,"28.39177185274172,85.08253930104391,28.482264636835726,85.1634597275961,27.132585353126245,85.12434519039394",
subj_137,subj_137@gmail.com,m,On,On,note here,"english, nepali",41,158.49,136,01-Jul-25,,11/02/2026 02:57,,,,"27.339283334703094,85.2624055938046",,"27.191823576528474,85.17450211277773,28.047216961726285,85.11077924969297,27.48715594295172,85.01164553000234",
subj_138,subj_138@gmail.com,f,Off,On,note here,math,14,62.48,3,,,,,,,"28.197252437095965,85.2838780584206",,"27.092392591371272,85.21544244870543,27.585387943420795,85.21390690468147,27.41973887759218,85.34291522381191",63
subj_139,subj_139@gmail.com,f,Off,On,sample input,"nepali, math",33,124.87,123,05-Jun-25,13:28,27/03/2024 10:42,,,,"28.02383969014875,85.32136265734003",,"28.438652757104304,85.25417208134769,28.09847867327303,85.35272466561729,27.354401365917496,85.14165291959341",69
subj_140,subj_140@gmail.com,f,On,On,note here,"math, english",68,,141,06-Jun-26,00:00,11/01/2025 13:19,,,,"27.70056352519985,85.18531413075281",,,
subj_141,subj_141@gmail.com,m,On,On,,"math, nepali, english",53,92.73,183,05-Sep-24,00:05,19/07/2026 10:15,,,,"27.784751941116568,85.46230958924161",,"27.600099834626814,85.06674791754592,27.288471060413535,85.07167503510478,28.21543701181703,85.35243673398605",10
subj_142,subj_142@gmail.com,m,On,Off,note here,"english, nepali, math",82,79.18,173,18-Mar-25,12:23,24/12/2025 11:13,,,,"27.311029999539684,85.28002873811812",,"27.208277080126244,85.45496858645873,27.797142258258106,85.29305469195718,27.76524943994665,85.01801245341814",7
subj_143,subj_143@gmail.com,m,On,On,,"nepali, math",82,35.56,38,18-Dec-24,,17/08/2024 20:17,,,,"28.072375333897376,85.03446947586627",,"28.42037434263597,85.05300124625997,27.593950954635552,85.15776837295142,27.19459216035736,85.34739915562439",94
subj_144,,m,Off,On,free text,english,96,,199,,,25/07/2025 21:03,,,,"27.131009722607676,85.22050931195213",,"27.55811761727404,85.0359174348668,27.330196620349643,85.23337646295947,28.485663268387984,85.49813253146957",54
subj_145,,m,On,On,,"math, nepali, english",34,,129,23-Feb-26,09:14,13/09/2025 04:03,,,,"27.39567906326365,85.08618361328212",,,50
subj_146,subj_146@gmail.com,f,On,Off,free text,"english, nepali, math",32,159.29,51,03-Nov-26,14:28,03/03/2025 12:10,,,,,,"28.2702506625167,85.18942127848655,28.23233284895834,85.22119479695047,28.130250845168415,85.06764096425559",35
subj_147,subj_147@gmail.com,f,On,On,sample input,nepali,45,109.43,190,18-Dec-25,19:11,17/11/2024 02:23,,,,"27.24232608967679,85.29306847758697",,"27.421972760810824,85.34760741153,28.365134511195297,85.09050492533508,27.58928675790175,85.32355939403678",100
subj_148,,m,On,Off,free text,nepali,46,54.84,59,10-Mar-26,21:55,25/01/2024 14:09,,,,"28.253881621375264,85.09322764659728",,"27.886616425430752,85.3108980969,28.030130937812185,85.45259637810673,27.44256021074481,85.32937949460339",7
subj_149,subj_149@gmail.com,f,On,Off,note here,"english, nepali",32,154.16,64,07-Jan-25,18:52,08/10/2025 23:19,,,,"28.33055853049583,85.19262353044522",,,81
subj_150,subj_150@gmail.com,m,Off,Off,free text,"english, math",51,,25,05-Jul-25,04:47,01/01/2024 12:47,,,,"27.046861468485975,85.34520405438947",,"27.374980131042765,85.268915199499,27.657040171906097,85.23699223651454,27.871307022654573,85.00316232361986",3
subj_151,,m,On,Off,user response,"math, english",17,3.88,128,12-Mar-25,12:53,20/11/2026 07:59,,,,"27.91764053167275,85.49292660022117",,"28.08862535207887,85.06369306086238,28.049135565483468,85.24215779434275,28.378196989473512,85.40341722359523",
subj_152,,,Off,On,,"english, nepali",61,103.83,168,,16:10,,,,,,,"28.126621740724307,85.09503044330407,27.09243599756642,85.22440319188611,27.30372801786682,85.34963540450697",6
subj_153,,m,On,On,sample input,math,98,36.35,61,16-Jan-24,,12/09/2025 20:42,,,,"28.464301296537133,85.01637861513184",,"27.10074414593655,85.08593468211568,27.576459988655937,85.43407741326453,27.80549990762775,85.32765342500365",60
subj_154,subj_154@gmail.com,m,Off,Off,note here,"math, english",98,68.05,39,,,18/01/2024 20:40,,,,"27.41851470512119,85.47958526953353",,"28.22542209638422,85.34293365128441,27.767733583357135,85.21145807152143,28.223254133888187,85.3965397163475",7
subj_155,subj_155@gmail.com,m,Off,Off,lorem ipsum,"math, nepali, english",86,140.0,194,09-Jan-24,18:07,20/10/2026 03:54,,,,"27.12651734165747,85.03263861723933",,"28.214368803491077,85.20148137088525,27.667253638922794,85.29464385183232,27.799560907179533,85.34403086655064",91
subj_156,subj_156@gmail.com,m,On,Off,,english,56,188.0,2,18-Nov-25,05:15,03/11/2024 00:26,,,,"27.59543204275725,85.41211947305007",,"27.088373009003707,85.10077584858719,27.82644662327033,85.02940052891175,28.11217020988157,85.42002850426096",62
subj_157,,m,On,Off,user response,"nepali, english, math",3,162.32,179,,03:05,13/09/2024 08:56,,,,"28.2484789563263,85.09145159199335",,"27.077928755637085,85.44624070956984,28.037331220661127,85.47610036270446,27.470829984469855,85.2430791546008",71
subj_158,subj_158@gmail.com,m,Off,Off,user response,english,48,29.32,143,18-Apr-25,,01/04/2024 03:56,,,,,,,59
subj_159,subj_159@gmail.com,m,On,On,lorem ipsum,"english, math",83,40.2,144,16-Oct-24,12:02,28/01/2025 14:10,,,,"28.19701178232688,85.37330048202756",,"27.70250661418772,85.2977721893584,28.378833149053577,85.18780298606436,28.31253497816093,85.08171464406841",65
subj_160,subj_160@gmail.com,,On,Off,sample input,"english, nepali, math",1,60.99,129,16-Jul-24,08:35,18/08/2025 04:34,,,,"28.35293203527269,85.41568106294152",,"27.851040838521087,85.41436876959686,27.35443515227545,85.14819374439651,27.452678150618418,85.02043499488583",13
subj_161,subj_161@gmail.com,f,On,Off,user response,"math, nepali",74,194.73,4,12-Sep-26,15:14,,,,,"27.631367549205923,85.20737711208099",,"27.26237542915608,85.0756539107376,27.248297252317546,85.32926374142538,28.4878429780944,85.11773758520087",33
subj_162,subj_162@gmail.com,m,On,Off,user response,"nepali, english",65,91.84,166,10-Aug-26,18:23,05/08/2026 07:46,,,,"27.78738314355647,85.42521559224318",,,1
subj_163,subj_163@gmail.com,m,On,Off,user response,nepali,46,92.08,1,23-May-24,20:11,16/05/2024 07:45,,,,,,"27.646822452188754,85.14927112437607,28.144780623592865,85.12263292155465,27.127162114158367,85.20689990494208",59
subj_164,subj_164@gmail.com,m,Off,On,note here,"math, nepali, english",78,130.79,172,11-Jun-25,,04/04/2025 20:42,,,,,,"27.53327852795287,85.13743853831251,28.470018967417438,85.12612539276084,28.088562593606614,85.14187904790296",
subj_165,subj_165@gmail.com,,On,On,note here,nepali,87,4.9,154,10-Dec-25,23:00,27/10/2024 02:09,,,,,,"27.45516434608769,85.43817233469876,27.244124578949783,85.18209735475293,28.273003030720993,85.095321378303",92
subj_166,subj_166@gmail.com,,On,Off,note here,"math, english, nepali",68,101.15,85,27-Sep-26,20:14,30/11/2026 17:02,,,,"27.272723179385657,85.16573194099075",,"28.384521988571628,85.49329503796105,27.977548138366668,85.34996118039886,27.482743754544884,85.42857929772437",20
subj_167,,m,Off,On,sample input,"nepali, english, math",29,,95,25-Aug-25,06:12,05/04/2026 15:55,,,,"27.4963811697217,85.09757158456799",,"27.6707984473853,85.16298180138966,27.406911109061987,85.32425614920257,27.079548557507827,85.17018188906987",90
subj_168,,f,On,On,free text,"english, math",58,43.02,199,19-Jul-26,11:33,,,,,"28.323127498643252,85.05368292484326",,,81
subj_169,subj_169@gmail.com,m,On,On,user response,"nepali, english",40,31.5,175,23-Dec-26,00:02,,,,,,,"27.06984172759318,85.38003589077177,28.105727620075797,85.49845471230502,27.5218059925816,85.14275449584521",66
subj_170,subj_170@gmail.com,m,On,Off,sample input,"nepali, math, english",67,95.7,47,29-Jul-25,23:26,20/08/2026 08:15,,,,"27.251035903966574,85.1732033729872",,"27.917841932013104,85.45059070962431,27.85039378054432,85.09689630638621,27.517149290948932,85.29518460359203",13
subj_171,,m,Off,Off,sample input,"math, nepali, english",81,121.04,155,25-Mar-25,02:20,27/08/2026 21:22,,,,,,"27.33845697844554,85.38956925767181,27.428887423255414,85.03579365107596,27.05464792096479,85.22158899362265",75
subj_172,subj_172@gmail.com,,Off,On,free text,"math, english",93,83.02,127,,23:19,03/07/2025 11:55,,,,"27.988225150226132,85.28482254548987",,"27.96613028600496,85.19866694210327,27.006601382855326,85.2232905750881,27.009087175695377,85.03749924464952",47
subj_173,subj_173@gmail.com,m,Off,On,lorem ipsum,"math, nepali, english",96,149.92,174,,10:29,,,,,"27.272181682952162,85.0937657232861",,"28.13700264770002,85.21842600376888,27.31309032515544,85.02303245005109,27.693945479224098,85.4073876742591",8
subj_174,subj_174@gmail.com,m,On,Off,sample input,"math, nepali, english",66,,86,01-Mar-26,12:54,28/08/2025 10:16,,,,"27.603253648719484,85.08946239282822",,"28.363459508324826,85.29680659565898,27.44905551503145,85.34114485932986,28.110219313044006,85.16610638939034",89
subj_175,,,On,Off,free text,"english, math",70,60.29,86,,10:08,08/02/2024 04:22,,,,,,"27.945353242459483,85.01163022006088,27.41806527083451,85.25269882727969,28.329327470084106,85.13571970878219",73
subj_176,subj_176@gmail.com,,Off,On,sample input,"nepali, english",44,139.18,48,02-Oct-25,19:13,18/12/2024 09:53,,,,"27.510450965499793,85.42992502843276",,,36
subj_177,subj_177@gmail.com,m,On,Off,sample input,"math, nepali",21,101.27,96,21-Feb-26,19:37,,,,,"28.319151968930502,85.06084514368705",,"27.18086616152398,85.23280425500347,27.58108939464653,85.47058680466259,27.485969320127726,85.407451129526",29
subj_178,subj_178@gmail.com,m,On,Off,,"english, math",88,68.27,170,24-Aug-24,08:17,05/08/2026 15:39,,,,,,"27.947502578369903,85.09393036266876,28.287514008138793,85.0266754911726,27.892823532774976,85.49191025011581",79
subj_179,subj_179@gmail.com,m,Off,Off,note here,"math, nepali",62,45.56,47,18-Apr-25,20:04,30/01/2025 05:09,,,,"27.35348693335355,85.00461946070925",,"27.046733716240006,85.31061658910683,27.93998277300503,85.03540023588683,27.475562344364178,85.4364027659977",41
subj_180,subj_180@gmail.com,m,Off,Off,free text,"nepali, math, english",80,66.56,32,30-Aug-25,04:15,,,,,"27.893249558865175,85.11177205041962",,"27.52978174458144,85.30761502526765,27.327223776841546,85.33146385028031,28.15029228045422,85.08331807151424",
subj_181,subj_181@gmail.com,m,Off,Off,lorem ipsum,"math, nepali",54,145.25,151,03-Aug-24,18:29,16/11/2026 10:35,,,,"27.95251187379121,85.30459934185798",,"27.888004331173306,85.01276591856923,27.011184647135703,85.42582091314837,27.06963606716643,85.26239757516672",92
subj_182,,f,On,Off,lorem ipsum,math,22,79.59,30,14-Jun-24,23:48,,,,,"27.83784610015186,85.06014285757804",,"27.823904852402496,85.27481690534663,27.903960978488676,85.02774299326215,27.25292814274735,85.08059612146168",83
subj_183,,m,Off,Off,note here,"math, nepali",38,90.55,59,16-Oct-25,23:23,,,,,,,"27.07736931660671,85.46653762073922,27.62040471043933,85.39196326787558,27.6244702330977,85.46868016078939",49
subj_184,subj_184@gmail.com,f,On,On,sample input,english,2,165.58,138,10-Sep-24,13:40,25/01/2024 17:49,,,,"27.764983394267798,85.41834060948884",,"28.130052920925817,85.46802376016741,27.17505553751829,85.46319581708228,27.902201302761718,85.38335079371615",
subj_185,subj_185@gmail.com,f,On,On,user response,"nepali, english, math",44,183.34,102,06-Dec-26,,28/12/2024 11:21,,,,,,"27.932220836302715,85.28147892689314,27.478454388873963,85.46471270252309,27.496767367443198,85.41747220632648",88
subj_186,subj_186@gmail.com,f,On,On,,"english, nepali",22,,71,05-Jan-24,07:27,08/12/2026 23:29,,,,"28.100236196294905,85.18318607745475",,,94
subj_187,subj_187@gmail.com,f,Off,Off,,nepali,5,,121,05-Jan-24,10:39,07/10/2025 00:14,,,,,,"27.85873436368317,85.30420837327196,28.02241627250611,85.06120442386523,28.01239065121584,85.44017744100641",68
subj_188,subj_188@gmail.com,f,Off,On,user response,"english, nepali, math",46,,128,,00:09,,,,,"28.366478759246707,85.20237162433564",,"27.05679917496469,85.14642341962735,27.184010204417977,85.05118516500757,27.84129235940458,85.04938242885679",
subj_189,subj_189@gmail.com,m,Off,On,,"nepali, math",98,81.19,160,13-Apr-26,17:43,,,,,,,"27.391947301536245,85.2303806331459,27.979595376479608,85.254694941808,27.302184843371016,85.05146952352369",18
subj_190,subj_190@gmail.com,,On,On,user response,"math, english, nepali",36,38.8,85,27-Dec-24,,03/10/2025 20:22,,,,"28.375434878792678,85.24519920862981",,"28.23784607564884,85.42985503234111,27.572813118253237,85.37823447037778,27.866008504614225,85.35984200087016",
subj_191,subj_191@gmail.com,m,On,Off,lorem ipsum,"english, nepali, math",79,61.43,101,28-Oct-25,13:51,29/10/2026 18:59,,,,"27.1388384081075,85.27700975103535",,"27.50316888892389,85.00612840093251,27.94834430563248,85.49934774626018,27.441824030684987,85.09196722623452",58
subj_192,subj_192@gmail.com,f,On,On,note here,english,55,81.38,8,26-Jun-25,02:51,,,,,"28.381845754077553,85.21888418353275",,"28.113853592633475,85.1233780696386,27.24123954346183,85.17890501620768,28.163405088339946,85.3475316949575",87
subj_193,subj_193@gmail.com,f,On,Off,free text,"english, nepali, math",7,149.75,25,31-Dec-25,09:45,17/11/2025 15:46,,,,"27.545600969339123,85.40953942054036",,,
subj_194,subj_194@gmail.com,f,On,Off,sample input,"english, nepali, math",60,6.04,29,15-Mar-24,15:17,07/10/2024 03:12,,,,"28.175120228750963,85.09447287523109",,"27.12899845745243,85.09538047623333,27.683296359284874,85.46509096437238,27.842816752339516,85.19383892410411",0
subj_195,subj_195@gmail.com,m,On,On,sample input,"math, nepali, english",26,29.31,40,06-Mar-25,17:09,28/06/2024 12:49,,,,"27.283098831514444,85.36365427981372",,,46
subj_196,subj_196@gmail.com,m,Off,On,free text,nepali,94,190.13,59,14-Jun-26,00:21,07/06/2026 15:19,,,,"27.306282959463005,85.47197380476236",,,43
subj_197,subj_197@gmail.com,m,Off,On,sample input,"math, nepali",67,,89,16-Jul-25,,30/03/2026 14:31,,,,,,"27.16604232495824,85.05310872418822,28.10991534477272,85.02760111660403,28.21465376857193,85.39807437932392",
subj_198,subj_198@gmail.com,,On,Off,,"nepali, english",92,,137,16-Apr-24,10:39,,,,,"28.325755854147946,85.45629127384865",,,100
subj_199,subj_199@gmail.com,f,Off,Off,sample input,"nepali, english",92,4.71,193,19-Jul-26,04:36,03/05/2024 08:52,,,,"28.17895023217594,85.2957438370398",,"27.70212807218339,85.16355612801058,27.165240894079986,85.49055596781014,27.264064979839883,85.09637144539538",
subj_200,subj_200@gmail.com,m,On,On,user response,math,86,39.64,183,26-Aug-26,19:28,11/07/2026 20:20,,,,"27.91001777288696,85.1846951117599",,"27.824443614109256,85.2992163008329,27.89983713851594,85.2753207304097,27.43507176716039,85.48578806245403",77
subj_201,subj_201@gmail.com,f,Off,On,note here,math,67,60.55,112,30-Dec-24,,11/10/2024 08:37,,,,"27.99340320574693,85.07808261176913",,"27.222049830153843,85.00937529336814,27.751849784289416,85.43136340663146,27.488986568123437,85.06408113532285",10
subj_202,subj_202@gmail.com,f,Off,On,note here,"math, nepali",74,113.73,144,21-Sep-25,11:24,12/04/2025 06:35,,,,"28.372891877316107,85.20686083683209",,"27.797484642703328,85.0336520353345,28.345925501299654,85.45520616991581,27.822089414763948,85.27827775786048",
subj_203,subj_203@gmail.com,m,Off,Off,free text,"nepali, math, english",63,88.09,16,04-Jul-26,,30/10/2024 07:32,,,,"28.102274480977407,85.38436501620079",,"27.631910340827286,85.08988585389746,27.631100806747515,85.0355647679128,27.169825924510576,85.33434738142171",64
subj_204,subj_204@gmail.com,,On,Off,free text,"english, nepali, math",27,116.08,125,,06:10,23/05/2024 10:44,,,,"28.36780737400053,85.39973289121347",,"27.62779616555498,85.00769832748028,27.792550980564332,85.06502322004243,27.314901469640393,85.34802048071205",59
subj_205,subj_205@gmail.com,f,Off,Off,note here,"nepali, math, english",52,32.98,198,25-Sep-25,20:52,04/08/2026 04:44,,,,,,"28.33805927405062,85.27282043700711,27.158348193771186,85.26720947612093,28.28340819089542,85.3747388145613",58
subj_206,,f,Off,Off,free text,math,84,107.26,12,04-Jun-26,21:46,04/03/2024 13:46,,,,"27.156214519045538,85.09914900599998",,"27.147508900308583,85.05016465892253,28.145080581214927,85.03217714085827,27.10284017409727,85.44440824150483",78
subj_207,subj_207@gmail.com,f,On,Off,free text,english,89,179.13,150,19-Jun-24,23:40,03/07/2024 09:14,,,,"28.020091283145142,85.03381977725154",,"28.45297571006584,85.48370665684918,27.055199100600177,85.1912240839747,28.139509055981993,85.37644290182891",
subj_208,subj_208@gmail.com,,Off,Off,user response,math,69,148.93,16,19-Jun-26,11:56,27/01/2025 15:21,,,,"27.364201395367918,85.26351102464619",,,67
subj_209,subj_209@gmail.com,,Off,On,lorem ipsum,english,14,147.51,174,30-Nov-26,19:59,22/05/2025 02:41,,,,"27.938196133159387,85.25968805859569",,"27.59422011763245,85.2069659040881,27.907866541226376,85.38013764234317,27.846529960423688,85.25438044110959",88
subj_210,subj_210@gmail.com,,Off,On,note here,"math, english, nepali",72,158.76,49,25-Nov-24,07:24,28/11/2024 20:28,,,,,,"27.78808039927777,85.39591492159734,28.006408912382422,85.14918699533257,27.49930012592451,85.32668214330151",72
subj_211,,f,Off,Off,,"math, english",34,113.48,30,21-May-25,21:13,,,,,"27.035546103178103,85.12563177535323",,"27.872110464438475,85.25685927058353,27.831674822994792,85.1262256293483,27.902457553708295,85.01533348923202",70
subj_212,subj_212@gmail.com,f,On,Off,free text,math,20,57.88,115,,,10/05/2024 13:36,,,,"27.46733720759094,85.11174931053705",,"27.73874977301714,85.02101532071599,27.390853974638215,85.07902514555943,28.264143427278025,85.0424269937166",85
subj_213,subj_213@gmail.com,f,Off,On,sample input,math,85,12.23,41,,,02/07/2026 19:27,,,,"27.43835265919802,85.06684026177587",,,55
subj_214,subj_214@gmail.com,m,Off,Off,note here,"nepali, math, english",71,60.47,1,06-Jun-25,04:43,14/06/2026 05:02,,,,"27.37400359378567,85.13376634918326",,"27.590656967100607,85.32780329122161,28.25403930536659,85.34637075013345,27.891484267180985,85.07386428127053",90
subj_215,subj_215@gmail.com,,On,Off,note here,"nepali, math, english",46,9.12,106,16-Apr-25,02:04,09/12/2024 07:51,,,,"28.041574520630327,85.12032673778288",,"27.931295561376622,85.39960819012559,27.578334192965624,85.02340247090774,27.80316828158832,85.49770453077225",1
subj_216,subj_216@gmail.com,m,On,Off,free text,"nepali, math, english",83,133.42,136,,08:32,07/11/2026 15:06,,,,"27.85794125671221,85.18814037217426",,"28.291856013027683,85.40942194247123,27.683214567662606,85.05942899478511,27.853760140108164,85.07821441401668",
subj_217,subj_217@gmail.com,f,Off,On,note here,"english, nepali",93,24.1,2,,,17/07/2025 17:42,,,,,,"28.306628789789546,85.07584280855825,27.175187741659975,85.46190443979204,27.260739973701757,85.1843108655213",95
subj_218,,,Off,Off,user response,"english, math, nepali",83,1.12,85,18-Jun-26,23:27,01/03/2025 13:05,,,,"27.817552118614664,85.4245328243187",,,
subj_219,,m,Off,On,lorem ipsum,"nepali, english, math",41,174.01,61,17-Jun-25,14:08,23/03/2024 01:25,,,,"27.938764931065478,85.17886583770786",,"27.28784140818811,85.01652960027256,27.85905620389979,85.04164461019231,27.14364277778975,85.40018851574126",1
subj_220,subj_220@gmail.com,m,Off,Off,,math,62,194.49,145,,08:01,,,,,"28.252742243675744,85.21481454799923",,"27.19387663342143,85.18385690241624,27.900482205069967,85.04241890479072,27.573983255721206,85.13058604200829",64
subj_221,subj_221@gmail.com,m,On,Off,free text,"nepali, math",51,68.34,73,,12:14,,,,,"27.96178474533362,85.36255784441148",,"27.370363857191197,85.4784443001581,27.285779590481106,85.09159030181684,27.6675529437473,85.09465317960029",
subj_222,,m,Off,Off,note here,"math, english, nepali",74,144.19,40,27-Jan-25,05:05,14/07/2025 01:16,,,,"27.511653059134588,85.28526900734254",,"27.903722996930256,85.23010225148585,27.518545545976288,85.34927355696085,28.471471411523723,85.2123788467603",0
subj_223,subj_223@gmail.com,m,Off,Off,note here,"nepali, math, english",4,162.28,124,,15:01,27/02/2026 16:37,,,,,,"27.06621772333846,85.20779709880085,28.182328562999587,85.074357196992,27.689923105404787,85.49488461669122",42
subj_224,subj_224@gmail.com,,On,On,free text,"nepali, math",93,6.47,6,13-Jan-25,09:54,,,,,,,"27.323968723619195,85.28252472312606,27.21890353017255,85.25487458665928,27.170147267049,85.24277120442757",25
subj_225,subj_225@gmail.com,m,Off,Off,user response,"nepali, math, english",8,133.74,17,07-Jul-26,00:10,,,,,,,"27.92438593740374,85.18931863634364,28.249859311446077,85.10235997966771,27.644088491144522,85.1785086495003",58
subj_226,subj_226@gmail.com,,Off,Off,user response,nepali,45,,27,28-Feb-26,10:11,22/03/2024 11:02,,,,"27.890578060509796,85.01290849710574",,"27.315247743738468,85.32820856183037,28.124883242251137,85.02966558286248,28.15463093169636,85.13421060898064",46
subj_227,subj_227@gmail.com,m,Off,Off,sample input,"math, nepali",72,181.56,190,,23:18,31/05/2026 18:16,,,,"27.78223066922878,85.08091467241802",,,45
subj_228,subj_228@gmail.com,f,Off,On,free text,"nepali, english, math",2,141.3,101,04-Dec-25,14:14,18/02/2025 06:06,,,,"27.868565930780324,85.20152439133514",,"28.436418488882612,85.2546046448718,27.70423429754979,85.37313690675015,27.56857060624786,85.2137119749404",46
subj_229,subj_229@gmail.com,m,Off,Off,sample input,"math, nepali",64,145.41,100,26-Jun-25,14:55,05/03/2025 10:46,,,,"27.761948765174942,85.236028167982",,"27.78007691793142,85.06452446144912,28.303811716245743,85.1795064160719,27.64886764493723,85.10283352833179",27
subj_230,subj_230@gmail.com,m,On,On,lorem ipsum,"english, nepali, math",30,58.28,165,22-May-25,08:39,01/11/2025 04:11,,,,"27.302459888181243,85.06832598503898",,"27.20002380777074,85.30056055860794,28.138477840833353,85.39659918710358,27.233268901518407,85.27843353396997",88
subj_231,,m,On,On,,"math, nepali",97,129.82,26,,05:31,20/04/2025 12:32,,,,"28.317043909029863,85.34545159044376",,"28.004220282319544,85.39142885832271,27.120220814805812,85.01125942099762,27.171679045754836,85.19749815508628",93
subj_232,subj_232@gmail.com,m,On,On,user response,"nepali, english",51,170.87,49,22-Sep-25,15:50,23/07/2026 05:01,,,,"28.140940848166675,85.14765675367238",,"27.410323970289745,85.3336476380081,28.120095668821076,85.23601947302662,28.085699648397966,85.25521878453539",15
subj_233,subj_233@gmail.com,m,Off,Off,sample input,"nepali, english",87,173.25,147,09-Mar-24,14:40,,,,,"27.37021933594379,85.17383601533048",,"28.302749238788813,85.36746279438886,28.461021225668137,85.44425188339493,27.381820817679014,85.32952961640127",
subj_234,subj_234@gmail.com,f,Off,Off,user response,math,85,,131,29-Apr-25,05:35,15/03/2024 07:15,,,,,,,58
subj_235,subj_235@gmail.com,m,On,Off,free text,math,2,130.25,94,08-Jan-25,07:14,,,,,"27.454037321215377,85.01319792439128",,,45
subj_236,subj_236@gmail.com,f,On,Off,,"math, nepali",59,148.57,54,04-Sep-26,17:31,18/03/2024 20:57,,,,"28.295237876344828,85.120142281679",,,
subj_237,subj_237@gmail.com,m,Off,On,note here,math,46,23.63,106,31-Oct-26,17:34,12/11/2025 14:45,,,,"27.909591420763533,85.21656060374316",,"28.13642156680787,85.48445624176114,28.439798036245843,85.4103678932125,27.902638345589228,85.37466599403537",
subj_238,subj_238@gmail.com,f,Off,On,lorem ipsum,"english, math, nepali",75,160.67,139,25-Apr-26,08:53,,,,,,,,27
subj_239,,m,On,Off,,english,72,101.9,33,02-May-24,,17/07/2024 20:56,,,,"27.00430696664222,85.21395686024498",,"27.962719836268832,85.29150713311063,27.302384266293544,85.34997309271432,28.01588196551752,85.03023178696269",24
